hashtag,count,sentiment,date
#ARPJ,1,0.0,2016-03-25
#eart,1,0.0,2016-03-25
#R5,1,0.0,2016-03-25
#loscangrejos,1,0.0,2016-03-25
#mfs,1,0.0,2016-03-25
#icecream,1,0.0,2016-03-25
#naturalbeauty,1,0.2042,2016-03-25
#cat,1,0.0,2016-03-25
#1D,2,0.0,2016-03-25
#ICant,1,0.0,2016-03-25
#sm28471861,1,0.0,2016-03-25
#PrayForYemen,1,0.0,2016-03-25
#AldenRichards,3,0.18043333333333333,2016-03-25
#Aquarius,1,0.2732,2016-03-25
#style,1,0.3612,2016-03-25
#Sex,1,0.0,2016-03-25
#MendesArmy,3,0.26796666666666663,2016-03-25
#chanyeol,1,0.0,2016-03-25
#KatyPerryLeftShark,3,0.0,2016-03-25
#FRANCE,2,0.0,2016-03-25
#Hunnid,1,0.0,2016-03-25
#loveit,1,0.0,2016-03-25
#TMCS2016,1,0.0,2016-03-25
#FREEDOWNLOAD,1,0.0,2016-03-25
#Pisces,1,0.0,2016-03-25
#piccadillycircus,1,0.0,2016-03-25
#RedheadBattle,1,0.0,2016-03-25
#ElCa,1,0.0,2016-03-25
#boobs,1,0.0,2016-03-25
#Updates,1,0.0,2016-03-25
#CruzSexScandal,7,0.12528571428571425,2016-03-25
#xvideos,1,0.0,2016-03-25
#bigdata,1,0.0,2016-03-25
#Patagonia,1,0.0,2016-03-25
#analprincess,1,-0.5859,2016-03-25
#longtongue,1,0.4939,2016-03-25
#highrise,1,0.7783,2016-03-25
#natural,1,0.765,2016-03-25
#NYIvsTBL,2,0.0,2016-03-25
#sehun,1,0.0,2016-03-25
#cunhada,1,0.0,2016-03-25
#86,1,0.0,2016-03-25
#NahTesambat,1,0.0,2016-03-25
#badgers,1,-0.7579,2016-03-25
#WeAreReadyForB6,2,0.0,2016-03-25
#morefunz,1,0.0,2016-03-25
#GameInsight,1,0.6696,2016-03-25
#pennytrader,1,0.0,2016-03-25
#Paris,1,0.0,2016-03-25
#MandamientosParaUnaMujer,1,0.0,2016-03-25
#stoprudepeople2k16,1,0.0,2016-03-25
#sidebyside,1,0.6562,2016-03-25
#cool,1,0.4703,2016-03-25
#Cinema,1,0.0,2016-03-25
#Homemade,1,0.0,2016-03-25
#ciaodarwin,1,-0.5859,2016-03-25
#teamprison,1,0.0,2016-03-25
#Ollie300k,1,0.0,2016-03-25
#mPLUSRewards,4,0.0,2016-03-25
#RT,14,-0.027271428571428575,2016-03-25
#fronteraenlaweb,1,0.0,2016-03-25
#Formtshirt,1,0.0,2016-03-25
#KrisWu,1,0.0,2016-03-25
#ONAGAWA,1,0.0,2016-03-25
#BLMTOtentcity,1,-0.25,2016-03-25
#B1G,1,0.0,2016-03-25
#animejapan,8,0.0,2016-03-25
#BRASIL,1,0.0,2016-03-25
#awesome,1,0.0,2016-03-25
#pum_1,2,0.0,2016-03-25
#DeAmoryOtrasAdicciones,1,0.0,2016-03-25
#10,4,0.19125,2016-03-25
#panama,1,0.0,2016-03-25
#BRAxURU,1,0.0,2016-03-25
#Tucuman,1,0.0,2016-03-25
#14,1,0.0,2016-03-25
#paypal,1,0.0,2016-03-25
#beach,2,0.39795,2016-03-25
#ElViacrucisDeLaSalud,1,0.0,2016-03-25
#beutiful,1,0.3612,2016-03-25
#Bondage,1,0.0,2016-03-25
#KIHYUN,1,0.0,2016-03-25
#Polymanga,1,-0.5859,2016-03-25
#magnumopus,1,0.0,2016-03-25
#SHOWNU,1,0.0,2016-03-25
#irishnation,1,0.0,2016-03-25
#5SOSFam,29,-0.045620689655172394,2016-03-25
#Swifties,1,0.0,2016-03-25
#XOXO,1,0.0,2016-03-25
#Chat,1,0.0,2016-03-25
#Zags,1,0.0,2016-03-25
#366,1,0.0,2016-03-25
#LulaL,1,0.0,2016-03-25
#StopBracketSadness,2,0.5719,2016-03-25
#GOT7,6,0.08998333333333335,2016-03-25
#SupportTNA,1,0.0,2016-03-25
#instagram,1,-0.34,2016-03-25
#Kurdistan,1,-0.4404,2016-03-25
#Prada,1,0.0,2016-03-25
#watch,1,0.0,2016-03-25
#MakeAmericaGreatAgain,1,0.0,2016-03-25
#ncaa,1,0.0431,2016-03-25
#Mystic,1,0.0,2016-03-25
#sagaserifu,1,0.0,2016-03-25
#pu_m1,2,0.0,2016-03-25
#TeamYamaha,1,0.0,2016-03-25
#halo,1,0.0,2016-03-25
#JesusDeNazareth,1,0.0,2016-03-25
#indiegames,1,0.1531,2016-03-25
#JUNGKOOK,1,0.0,2016-03-25
#pso2,1,0.0,2016-03-25
#HappyXiuminDay,7,0.12938571428571427,2016-03-25
#10YearsOfHannahMontana,1,0.0,2016-03-25
#iHeartRadio,1,0.0,2016-03-25
#iH,1,-0.34,2016-03-25
#credit,1,0.0,2016-03-25
#gintama,1,0.0,2016-03-25
#ludacris,1,-0.2023,2016-03-25
#TDW,1,0.0,2016-03-25
#DO,1,0.0,2016-03-25
#MajuNaAtrevida,1,0.0,2016-03-25
#fun,2,0.39795,2016-03-25
#NSFW,1,0.0,2016-03-25
#instarunners,1,0.0,2016-03-25
#MGWV,4,0.6717,2016-03-25
#HappyXiuDay,1,0.0,2016-03-25
#Dead,1,0.0,2016-03-25
#greatcommission,1,0.0,2016-03-25
#Zoella,3,0.296,2016-03-25
#gHelp,1,0.0,2016-03-25
#KIR,1,0.0,2016-03-25
#adidas,1,0.0,2016-03-25
#SanFrancisco,1,0.0,2016-03-25
#HappyBirthdayLeePace,1,0.7067,2016-03-25
#IklanSulsel,1,0.0,2016-03-25
#pennystocks,1,0.0,2016-03-25
#blowjob,1,0.296,2016-03-25
#k2skis,1,0.6249,2016-03-25
#meuerro,1,0.0,2016-03-25
#installNow,1,0.0,2016-03-25
#Servicios,1,0.0,2016-03-25
#ThisTimeOfficialPoster,1,0.0,2016-03-25
#WhiteRoseRevolt,1,0.0,2016-03-25
#TGDN,1,-0.4019,2016-03-25
#somoslasele,1,0.0,2016-03-25
#Naranjal,1,0.0,2016-03-25
#agua,1,0.0,2016-03-25
#nike,1,0.0,2016-03-25
#VampsFirstShow,1,0.6739,2016-03-25
#LIBRA,1,0.0,2016-03-25
#heatnation,1,0.6808,2016-03-25
#KyuhyunInUAE,1,0.0,2016-03-25
#Lara,1,0.0,2016-03-25
#LipKitbyKylie,1,0.0,2016-03-25
#PerdueCrew,2,0.0,2016-03-25
#ChupaCoxinhas,1,0.0,2016-03-25
#tiffany,1,0.0,2016-03-25
#ReligiousInsanity,1,-0.4841,2016-03-25
#lulanacadeia,1,0.0,2016-03-25
#5SOSFAM,3,-0.27616666666666667,2016-03-25
